Number,Primes +1,Primes -1,Twins,Is Prime
391,35,39,5,False
392,73,85,13,False
393,61,49,13,False
394,74,71,9,False
395,44,44,4,False
396,112,128,33,False
397,42,37,6,True
398,69,76,12,False
399,70,64,21,False
400,94,89,17,False
401,37,33,5,True
402,115,108,25,False
403,41,40,5,False
404,70,77,10,False
405,74,70,21,False
406,84,91,17,False
407,45,41,7,False
408,114,124,32,False
409,42,31,4,True
410,101,93,19,False
411,57,50,16,False
412,68,78,8,False
413,41,45,3,False
414,123,116,28,False
415,41,46,9,False
416,83,81,9,False
417,58,55,14,False
418,84,91,10,False
419,37,40,3,True
420,155,172,62,False
421,35,36,4,True
422,72,82,10,False
423,56,59,14,False
424,78,86,10,False
425,52,47,12,False
426,123,109,32,False
427,49,45,6,False
428,76,73,10,False
429,69,64,16,False
430,97,103,17,False
431,39,37,5,True
432,113,112,19,False
433,42,38,1,True
434,92,95,17,False
435,82,73,26,False
436,76,77,10,False
437,44,42,5,False
438,117,118,28,False
439,35,36,3,True
440,99,108,16,False
441,76,64,20,False
442,84,90,15,False
443,43,30,4,True
444,128,124,34,False
445,50,50,8,False
446,71,77,8,False
447,62,65,17,False
448,91,96,15,False
449,40,42,3,True
450,148,149,41,False
451,49,42,4,False
452,78,82,8,False
453,67,55,11,False
454,85,81,10,False
455,65,68,13,False
456,127,128,33,False
457,38,45,5,True
458,86,78,12,False
459,74,60,14,False
460,103,102,16,False
461,44,40,6,True
462,152,163,45,False
463,41,39,5,True
464,92,83,11,False
465,83,82,29,False
466,87,85,7,False
467,44,43,7,True
468,128,138,34,False
469,51,43,6,False
470,98,106,16,False
471,62,59,15,False
472,91,86,5,False
473,45,51,9,False
474,133,127,32,False
475,55,58,6,False
476,110,101,10,False
477,62,66,16,False
478,80,83,8,False
479,44,43,7,True
480,146,162,43,False
481,44,50,2,False
482,89,85,11,False
483,76,82,22,False
484,93,89,13,False
485,55,57,8,False
486,118,126,26,False
487,38,39,4,True
488,92,88,7,False
489,66,59,12,False
490,128,136,23,False
491,39,37,5,True
492,140,133,33,False
493,52,46,5,False
494,105,105,16,False
495,96,87,32,False
496,96,90,10,False
497,56,48,5,False
498,131,130,33,False
499,42,48,3,True
500,105,113,14,False
501,75,65,15,False
502,81,94,11,False
503,49,41,6,True
504,154,146,41,False
505,62,54,11,False
506,96,100,14,False
507,67,63,15,False
508,84,88,6,False
509,47,40,6,True
510,174,175,57,False
511,44,56,8,False
512,88,98,12,False
513,71,72,14,False
514,80,86,12,False
515,57,56,7,False
516,141,138,30,False
517,50,54,5,False
